Node,Depth,Value
root,0,-Infinity
A1,1,Infinity
B1,2,19
A1,1,19
E1,2,5
A1,1,5
A2,2,15
A1,1,5
B2,2,23
A1,1,5
A3,2,7
A1,1,5
B3,2,-13
A1,1,-13
C3,2,22
A1,1,-13
E3,2,18
A1,1,-13
A4,2,15
A1,1,-13
B4,2,23
A1,1,-13
E4,2,33
A1,1,-13
A5,2,10
A1,1,-13
B5,2,5
A1,1,-13
C5,2,12
A1,1,-13
D5,2,14
A1,1,-13
E5,2,25
A1,1,-13
root,0,-13
B1,1,Infinity
A1,2,11
B1,1,11
E1,2,1
B1,1,1
A2,2,11
B1,1,1
B2,2,19
B1,1,1
A3,2,3
B1,1,1
B3,2,-17
B1,1,-17
C3,2,18
B1,1,-17
E3,2,14
B1,1,-17
A4,2,11
B1,1,-17
B4,2,19
B1,1,-17
E4,2,29
B1,1,-17
A5,2,6
B1,1,-17
B5,2,1
B1,1,-17
C5,2,8
B1,1,-17
D5,2,10
B1,1,-17
E5,2,21
B1,1,-17
root,0,-13
E1,1,Infinity
A1,2,25
E1,1,25
B1,2,29
E1,1,25
A2,2,25
E1,1,25
B2,2,33
E1,1,25
A3,2,17
E1,1,17
B3,2,-3
E1,1,-3
C3,2,32
E1,1,-3
E3,2,28
E1,1,-3
A4,2,25
E1,1,-3
B4,2,33
E1,1,-3
E4,2,43
E1,1,-3
A5,2,20
E1,1,-3
B5,2,15
E1,1,-3
C5,2,22
E1,1,-3
D5,2,24
E1,1,-3
E5,2,35
E1,1,-3
root,0,-3
A2,1,Infinity
A1,2,15
A2,1,15
B1,2,19
A2,1,15
E1,2,5
A2,1,5
B2,2,23
A2,1,5
A3,2,7
A2,1,5
B3,2,-13
A2,1,-13
C3,2,22
A2,1,-13
E3,2,18
A2,1,-13
A4,2,15
A2,1,-13
B4,2,23
A2,1,-13
E4,2,33
A2,1,-13
A5,2,10
A2,1,-13
B5,2,5
A2,1,-13
C5,2,12
A2,1,-13
D5,2,14
A2,1,-13
E5,2,25
A2,1,-13
root,0,-3
B2,1,Infinity
A1,2,7
B2,1,7
B1,2,11
B2,1,7
E1,2,-3
B2,1,-3
A2,2,7
B2,1,-3
A3,2,-1
B2,1,-3
B3,2,-21
B2,1,-21
C3,2,14
B2,1,-21
E3,2,10
B2,1,-21
A4,2,7
B2,1,-21
B4,2,15
B2,1,-21
E4,2,25
B2,1,-21
A5,2,2
B2,1,-21
B5,2,-3
B2,1,-21
C5,2,4
B2,1,-21
D5,2,6
B2,1,-21
E5,2,17
B2,1,-21
root,0,-3
A3,1,Infinity
A1,2,23
A3,1,23
B1,2,27
A3,1,23
E1,2,13
A3,1,13
A2,2,23
A3,1,13
B2,2,31
A3,1,13
B3,2,-5
A3,1,-5
C3,2,30
A3,1,-5
E3,2,26
A3,1,-5
A4,2,23
A3,1,-5
B4,2,31
A3,1,-5
E4,2,41
A3,1,-5
A5,2,18
A3,1,-5
B5,2,13
A3,1,-5
C5,2,20
A3,1,-5
D5,2,22
A3,1,-5
E5,2,33
A3,1,-5
root,0,-3
B3,1,Infinity
A1,2,43
B3,1,43
B1,2,47
B3,1,43
E1,2,33
B3,1,33
A2,2,43
B3,1,33
B2,2,51
B3,1,33
A3,2,35
B3,1,33
C3,2,-46
B3,1,-46
E3,2,46
B3,1,-46
A4,2,43
B3,1,-46
B4,2,-45
B3,1,-46
E4,2,61
B3,1,-46
A5,2,38
B3,1,-46
B5,2,33
B3,1,-46
C5,2,40
B3,1,-46
D5,2,42
B3,1,-46
E5,2,53
B3,1,-46
root,0,-3
C3,1,Infinity
A1,2,26
C3,1,26
B1,2,30
C3,1,26
E1,2,16
C3,1,16
A2,2,26
C3,1,16
B2,2,34
C3,1,16
A3,2,18
C3,1,16
B3,2,-2
C3,1,-2
E3,2,45
C3,1,-2
A4,2,26
C3,1,-2
B4,2,34
C3,1,-2
E4,2,44
C3,1,-2
A5,2,21
C3,1,-2
B5,2,16
C3,1,-2
C5,2,23
C3,1,-2
D5,2,25
C3,1,-2
E5,2,36
C3,1,-2
root,0,-2
E3,1,Infinity
A1,2,-2
E3,1,-2
B1,2,2
E3,1,-2
E1,2,-12
E3,1,-12
A2,2,-2
E3,1,-12
B2,2,6
E3,1,-12
A3,2,-10
E3,1,-12
B3,2,-30
E3,1,-30
C3,2,3
E3,1,-30
A4,2,-2
E3,1,-30
B4,2,6
E3,1,-30
E4,2,14
E3,1,-30
A5,2,-7
E3,1,-30
B5,2,-12
E3,1,-30
C5,2,-5
E3,1,-30
D5,2,-3
E3,1,-30
E5,2,8
E3,1,-30
root,0,-2
A4,1,Infinity
A1,2,15
A4,1,15
B1,2,19
A4,1,15
E1,2,5
A4,1,5
A2,2,15
A4,1,5
B2,2,23
A4,1,5
A3,2,7
A4,1,5
B3,2,-13
A4,1,-13
C3,2,22
A4,1,-13
E3,2,18
A4,1,-13
B4,2,-17
A4,1,-17
E4,2,33
A4,1,-17
A5,2,10
A4,1,-17
B5,2,5
A4,1,-17
C5,2,12
A4,1,-17
D5,2,14
A4,1,-17
E5,2,25
A4,1,-17
root,0,-2
B4,1,Infinity
A1,2,7
B4,1,7
B1,2,11
B4,1,7
E1,2,-3
B4,1,-3
A2,2,7
B4,1,-3
B2,2,15
B4,1,-3
A3,2,-1
B4,1,-3
B3,2,-21
B4,1,-21
C3,2,14
B4,1,-21
E3,2,10
B4,1,-21
A4,2,7
B4,1,-21
E4,2,25
B4,1,-21
A5,2,2
B4,1,-21
B5,2,-3
B4,1,-21
C5,2,4
B4,1,-21
D5,2,6
B4,1,-21
E5,2,17
B4,1,-21
root,0,-2
E4,1,Infinity
A1,2,-3
E4,1,-3
B1,2,1
E4,1,-3
E1,2,-13
E4,1,-13
A2,2,-3
E4,1,-13
B2,2,5
E4,1,-13
A3,2,-11
E4,1,-13
B3,2,-31
E4,1,-31
C3,2,4
E4,1,-31
E3,2,-4
E4,1,-31
A4,2,-3
E4,1,-31
B4,2,5
E4,1,-31
A5,2,-8
E4,1,-31
B5,2,-13
E4,1,-31
C5,2,-6
E4,1,-31
D5,2,-4
E4,1,-31
E5,2,7
E4,1,-31
root,0,-2
A5,1,Infinity
A1,2,20
A5,1,20
B1,2,24
A5,1,20
E1,2,10
A5,1,10
A2,2,20
A5,1,10
B2,2,28
A5,1,10
A3,2,12
A5,1,10
B3,2,-8
A5,1,-8
C3,2,27
A5,1,-8
E3,2,23
A5,1,-8
A4,2,20
A5,1,-8
B4,2,28
A5,1,-8
E4,2,38
A5,1,-8
B5,2,10
A5,1,-8
C5,2,17
A5,1,-8
D5,2,19
A5,1,-8
E5,2,30
A5,1,-8
root,0,-2
B5,1,Infinity
A1,2,25
B5,1,25
B1,2,29
B5,1,25
E1,2,15
B5,1,15
A2,2,25
B5,1,15
B2,2,33
B5,1,15
A3,2,17
B5,1,15
B3,2,-3
B5,1,-3
C3,2,32
B5,1,-3
E3,2,28
B5,1,-3
A4,2,25
B5,1,-3
B4,2,-27
B5,1,-27
E4,2,43
B5,1,-27
A5,2,20
B5,1,-27
C5,2,-38
B5,1,-38
D5,2,24
B5,1,-38
E5,2,35
B5,1,-38
root,0,-2
C5,1,Infinity
A1,2,18
C5,1,18
B1,2,22
C5,1,18
E1,2,8
C5,1,8
A2,2,18
C5,1,8
B2,2,26
C5,1,8
A3,2,10
C5,1,8
B3,2,-10
C5,1,-10
C3,2,25
C5,1,-10
E3,2,21
C5,1,-10
A4,2,18
C5,1,-10
B4,2,26
C5,1,-10
E4,2,36
C5,1,-10
A5,2,13
C5,1,-10
B5,2,8
C5,1,-10
D5,2,-29
C5,1,-29
E5,2,28
C5,1,-29
root,0,-2
D5,1,Infinity
A1,2,16
D5,1,16
B1,2,20
D5,1,16
E1,2,6
D5,1,6
A2,2,16
D5,1,6
B2,2,24
D5,1,6
A3,2,8
D5,1,6
B3,2,-12
D5,1,-12
C3,2,23
D5,1,-12
E3,2,19
D5,1,-12
A4,2,16
D5,1,-12
B4,2,24
D5,1,-12
E4,2,34
D5,1,-12
A5,2,11
D5,1,-12
B5,2,6
D5,1,-12
C5,2,-29
D5,1,-29
E5,2,26
D5,1,-29
root,0,-2
E5,1,Infinity
A1,2,5
E5,1,5
B1,2,9
E5,1,5
E1,2,-5
E5,1,-5
A2,2,5
E5,1,-5
B2,2,13
E5,1,-5
A3,2,-3
E5,1,-5
B3,2,-23
E5,1,-23
C3,2,12
E5,1,-23
E3,2,8
E5,1,-23
A4,2,5
E5,1,-23
B4,2,13
E5,1,-23
E4,2,3
E5,1,-23
A5,2,0
E5,1,-23
B5,2,-5
E5,1,-23
C5,2,2
E5,1,-23
D5,2,-16
E5,1,-23
root,0,-2
